heldout_group,sample_count,class_label,reference_group_class_f1,candidate_group_class_f1,group_class_f1_delta,followup_rate,stats_selected_rate
benign:BitTorrent,500,0,1.0,1.0,0.0,0.0,0.0
benign:FTP,500,0,0.8814317673378076,0.8814317673378076,0.0,0.072,0.0
benign:Facetime,500,0,0.3870967741935484,0.3870967741935484,0.0,0.0,0.0
benign:Gmail,500,0,1.0,1.0,0.0,0.018,0.0
benign:MySQL,500,0,0.998998998998999,1.0,0.0010010010010009784,0.08,0.002
benign:Outlook,500,0,1.0,1.0,0.0,0.0,0.0
benign:SMB,500,0,0.9669421487603306,0.9888776541961577,0.02193550543582712,0.088,0.042
benign:Skype,500,0,0.7684729064039408,1.0,0.23152709359605916,0.936,0.376
benign:Weibo,500,0,1.0,1.0,0.0,0.002,0.0
benign:WorldOfWarcraft,500,0,0.9979959919839679,0.9979959919839679,0.0,0.004,0.0
malware:Cridex,500,1,1.0,1.0,0.0,0.0,0.0
malware:Geodo,500,1,0.9949748743718593,0.9949748743718593,0.0,0.0,0.0
malware:Htbot,500,1,0.9979959919839679,0.998998998998999,0.0010030070150310877,0.036,0.006
malware:Miuref,500,1,1.0,1.0,0.0,0.0,0.0
malware:Neris,500,1,0.9969909729187563,0.9969909729187563,0.0,0.004,0.0
malware:Nsis-ay,500,1,0.9979959919839679,1.0,0.002004008016032066,0.096,0.004
malware:Shifu,500,1,1.0,1.0,0.0,0.0,0.0
malware:Tinba,500,1,1.0,1.0,0.0,0.0,0.0
malware:Virut,500,1,1.0,1.0,0.0,0.0,0.0
malware:Zeus,500,1,1.0,1.0,0.0,0.006,0.0
